order_id,booking_date,booking_time,booking_hour,booking_day_of_week,collection_date,collection_time,delivery_date,delivery_slot,zone,postal_district,postal_code,latitude,longitude,service,category,quantity,base_price_sgd,delicate_surcharge,express_type,express_multiplier,order_value_sgd,free_delivery,processing_days,processing_label,effort_score,order_status
AST-00020,2024-06-03,22:07,22,Monday,2024-06-04,13:20,2024-06-14,09:00-13:00,Bishan / Toa Payoh,District 12,30392,1.33153,103.836287,Curtains (no removal),Household,3,56,0,,1.0,163.03,Yes,10,7-14 days,4,Completed
AST-00021,2024-07-30,22:03,22,Tuesday,2024-07-31,11:46,2024-08-03,12:00-16:00,Serangoon / Bartley,District 13,31980,1.363397,103.878825,Dress,Clothing,4,20,0,Next-day,2.0,163.93,Yes,3,3-6 days,2,Completed
AST-00022,2024-05-24,15:00,15,Friday,2024-05-25,13:36,2024-05-27,15:00-18:00,Tampines / Pasir Ris,District 18,51944,1.366555,103.932369,Sweater / Cardigan,Clothing,1,9,0,,1.0,8.96,No,2,1-2 days,1,Completed
AST-00023,2024-03-08,08:54,8,Friday,2024-03-08,11:30,2024-03-11,12:00-16:00,Jurong East / West,District 22,66379,1.333171,103.733903,Cheongsam,Traditional,1,25,0,,1.0,24.7,No,3,3-6 days,2,Completed
AST-00024,2024-07-01,22:26,22,Monday,2024-07-02,14:19,2024-07-04,12:00-16:00,Ang Mo Kio / Hougang,District 19,52518,1.359847,103.855104,Trousers / Shorts,Clothing,2,9,0,Next-day,2.0,35.66,No,2,1-2 days,1,Completed
AST-00025,2024-07-02,12:59,12,Tuesday,2024-07-02,10:29,2024-07-12,12:00-16:00,Jurong East / West,District 22,68555,1.358507,103.735805,Curtains (no removal),Household,2,56,0,,1.0,114.68,Yes,10,7-14 days,4,Completed
AST-00026,2025-06-16,21:20,21,Monday,2025-06-17,13:44,2025-06-19,15:00-18:00,Jurong East / West,District 22,66379,1.333513,103.737133,Trousers / Shorts,Clothing,2,9,0,,1.0,17.59,No,2,1-2 days,1,In Progress
AST-00027,2025-01-06,09:57,9,Monday,2025-01-06,14:26,2025-01-08,09:00-13:00,Jurong East / West,District 22,66685,1.330282,103.702079,Shirt / Blouse,Clothing,2,9,0,,1.0,17.57,No,2,1-2 days,1,Completed
AST-00028,2024-03-28,03:43,3,Thursday,2024-03-28,12:36,2024-03-29,15:00-18:00,Punggol / Sengkang,District 19,57533,1.396989,103.895811,Hemming,Alterations,3,14,0,3-Hour,3.0,124.18,Yes,1,1-2 days,1,Completed
AST-00029,2025-01-14,16:24,16,Tuesday,2025-01-15,09:29,2025-01-17,09:00-13:00,Jurong East / West,District 22,67340,1.336407,103.704922,Shirt / Blouse,Clothing,1,9,0,,1.0,8.98,No,2,1-2 days,1,Completed
AST-00030,2025-01-01,16:02,16,Wednesday,2025-01-02,11:49,2025-01-06,12:00-16:00,Bukit Timah / Bukit Batok,District 21,63597,1.328191,103.783906,Graduation Gown,Traditional,1,20,0,Next-day,2.0,40.77,Yes,3,3-6 days,2,Completed
AST-00031,2024-10-18,18:32,18,Friday,2024-10-19,11:41,2024-10-29,12:00-16:00,CBD / Tanjong Pagar,District 01,02167,1.280861,103.850075,Curtains (no removal),Household,1,56,0,,1.0,54.6,Yes,10,7-14 days,4,Completed
AST-00032,2024-04-08,21:55,21,Monday,2024-04-09,09:48,2024-04-11,12:00-16:00,Buona Vista / Holland,District 05,12230,1.303772,103.780958,Skirt,Clothing,1,12,0,Next-day,2.0,24.47,No,2,1-2 days,1,Completed
AST-00033,2024-06-27,09:14,9,Thursday,2024-06-27,14:09,2024-07-09,12:00-16:00,Tampines / Pasir Ris,District 18,50196,1.356676,103.956211,Leather / Suede Item,Bags & Shoes,1,90,0,Same-day,3.0,272.98,Yes,12,10-14 days,5,Completed
AST-00034,2024-02-07,19:23,19,Wednesday,2024-02-08,16:14,2024-02-12,12:00-16:00,Jurong East / West,District 22,66342,1.328939,103.72621,Dress,Clothing,1,20,4,,1.0,24.68,No,3,3-6 days,2,Completed
AST-00035,2024-04-18,20:18,20,Thursday,2024-04-19,14:36,2024-04-22,12:00-16:00,Tampines / Pasir Ris,District 18,51667,1.372376,103.920776,Wintercoat (Waist),Clothing,1,30,0,,1.0,30.79,No,3,3-6 days,2,Completed
AST-00036,2024-08-21,09:44,9,Wednesday,2024-08-21,11:40,2024-08-24,12:00-16:00,Choa Chu Kang / Bukit Panjang,District 23,67839,1.377441,103.766311,Saree,Traditional,1,20,0,Next-day,2.0,40.76,Yes,3,3-6 days,2,Completed
AST-00037,2025-02-11,08:42,8,Tuesday,2025-02-11,11:19,2025-02-13,12:00-16:00,Marine Parade / Katong,District 14,33495,1.299721,103.892347,Trousers / Shorts,Clothing,1,9,0,,1.0,9.09,No,2,1-2 days,1,Completed
AST-00038,2025-01-02,19:01,19,Thursday,2025-01-03,11:51,2025-01-06,12:00-16:00,Boon Lay / Tuas,District 22,65176,1.303968,103.683488,Sweater / Cardigan,Clothing,1,9,0,Next-day,2.0,17.51,No,2,1-2 days,1,Completed
AST-00039,2025-03-12,19:38,19,Wednesday,2025-03-13,11:24,2025-03-17,15:00-18:00,Orchard / River Valley,District 09,20824,1.303305,103.821628,Baju Kurung (2pc),Traditional,3,32,0,Same-day,3.0,283.17,Yes,3,3-6 days,2,Completed
AST-00040,2024-05-27,22:50,22,Monday,2024-05-28,09:55,2024-05-31,12:00-16:00,Choa Chu Kang / Bukit Panjang,District 23,69948,1.396777,103.774149,Dress,Clothing,3,20,0,,1.0,60.64,Yes,3,3-6 days,2,Completed
AST-00041,2024-01-12,21:50,21,Friday,2024-01-13,10:47,2024-01-15,12:00-16:00,Geylang / Eunos,District 14,33224,1.322267,103.890881,Trousers / Shorts,Clothing,3,9,0,,1.0,27.56,No,2,1-2 days,1,Completed
AST-00042,2024-06-07,20:24,20,Friday,2024-06-08,14:49,2024-06-10,12:00-16:00,Bishan / Toa Payoh,District 12,29553,1.343658,103.834486,Skirt,Clothing,3,12,0,,1.0,36.03,No,2,1-2 days,1,Completed
AST-00043,2024-08-27,13:24,13,Tuesday,2024-08-27,16:29,2024-08-29,15:00-18:00,Choa Chu Kang / Bukit Panjang,District 23,69244,1.385811,103.757744,Shirt / Blouse,Clothing,1,9,0,,1.0,9.26,No,2,1-2 days,1,Completed
AST-00044,2024-10-14,22:26,22,Monday,2024-10-15,12:47,2024-10-18,12:00-16:00,Orchard / River Valley,District 09,20786,1.300903,103.841444,Coat / Jacket,Clothing,2,14,4,Next-day,2.0,65.72,Yes,3,3-6 days,2,Completed
AST-00045,2025-03-25,20:00,20,Tuesday,2025-03-26,13:09,2025-03-27,12:00-16:00,Clementi / West Coast,District 05,11542,1.302399,103.759858,On-site Mattress (Queen),On-site,1,119,0,,1.0,120.14,Yes,0,Same day,3,Completed
AST-00046,2024-07-09,20:44,20,Tuesday,2024-07-10,14:16,2024-07-12,09:00-13:00,CBD / Tanjong Pagar,District 01,02409,1.283954,103.851276,Skirt,Clothing,1,12,0,,1.0,11.94,No,2,1-2 days,1,Completed
AST-00047,2024-12-23,22:28,22,Monday,2024-12-24,14:10,2024-12-27,09:00-13:00,Boon Lay / Tuas,District 22,65391,1.309274,103.695437,Sofa Cover (3-Seater),Household,4,30,0,,1.0,119.23,Yes,3,3-6 days,2,Completed
AST-00048,2025-06-03,00:26,0,Tuesday,2025-06-03,11:53,2025-06-05,09:00-13:00,Bukit Timah / Bukit Batok,District 21,62765,1.357475,103.776732,Skirt,Clothing,1,12,4,Next-day,2.0,28.8,No,2,1-2 days,1,Completed
AST-00049,2025-04-24,21:17,21,Thursday,2025-04-25,16:42,2025-05-07,12:00-16:00,Serangoon / Bartley,District 13,31606,1.358478,103.868663,Leather / Suede Item,Bags & Shoes,1,90,0,,1.0,87.51,Yes,12,10-14 days,5,Completed
AST-00050,2025-02-17,09:09,9,Monday,2025-02-17,13:34,2025-02-20,09:00-13:00,Bishan / Toa Payoh,District 12,30818,1.330585,103.84261,Graduation Gown,Traditional,1,20,4,Next-day,2.0,43.49,Yes,3,3-6 days,2,Completed
AST-00051,2025-02-12,21:51,21,Wednesday,2025-02-13,14:17,2025-02-15,09:00-13:00,Marine Parade / Katong,District 14,33661,1.305849,103.901178,Waist Resizing,Alterations,2,18,0,,1.0,36.45,No,2,1-2 days,2,Completed
AST-00052,2024-11-11,08:53,8,Monday,2024-11-11,12:19,2024-11-14,15:00-18:00,Clementi / West Coast,District 05,11229,1.307673,103.757522,Saree,Traditional,1,20,0,,1.0,20.4,No,3,3-6 days,2,Completed
AST-00053,2024-10-19,22:57,22,Saturday,2024-10-21,09:40,2024-10-31,12:00-16:00,Woodlands / Marsiling,District 25,73697,1.443769,103.779424,Curtains (no removal),Household,4,56,0,,1.0,223.33,Yes,10,7-14 days,4,Completed
AST-00054,2025-03-31,23:08,23,Monday,2025-04-01,15:59,2025-04-03,12:00-16:00,Woodlands / Marsiling,District 25,72977,1.444487,103.803238,Shirt / Blouse,Clothing,2,9,0,,1.0,17.82,No,2,1-2 days,1,Completed
AST-00055,2024-09-25,15:17,15,Wednesday,2024-09-26,10:21,2024-09-30,09:00-13:00,Choa Chu Kang / Bukit Panjang,District 23,69596,1.369761,103.776337,Saree Suit (2pc),Traditional,3,29,0,Next-day,2.0,170.39,Yes,3,3-6 days,2,Completed
AST-00056,2025-04-25,11:50,11,Friday,2025-04-25,10:05,2025-04-28,12:00-16:00,Jurong East / West,District 22,67816,1.34916,103.715349,Dress,Clothing,2,20,0,,1.0,38.88,No,3,3-6 days,2,Completed
AST-00057,2025-05-07,08:46,8,Wednesday,2025-05-07,15:20,2025-05-09,09:00-13:00,Novena / Newton,District 11,26536,1.319304,103.832318,Bedsheet,Household,1,12,0,Next-day,2.0,24.57,No,2,1-2 days,1,Completed
AST-00058,2024-12-11,10:28,10,Wednesday,2024-12-11,11:05,2024-12-13,15:00-18:00,Clementi / West Coast,District 05,12736,1.297866,103.751196,Skirt,Clothing,2,12,0,Next-day,2.0,48.5,Yes,2,1-2 days,1,Completed
AST-00059,2024-11-12,22:29,22,Tuesday,2024-11-13,10:22,2024-11-16,09:00-13:00,Woodlands / Marsiling,District 25,72417,1.445044,103.769496,Pillow / Bolster,Household,1,25,0,,1.0,24.66,No,3,3-6 days,2,Completed
AST-00060,2024-10-26,05:21,5,Saturday,2024-10-26,10:46,2024-10-29,12:00-16:00,Tampines / Pasir Ris,District 18,50973,1.35523,103.958915,Graduation Gown,Traditional,4,20,0,,1.0,79.84,Yes,3,3-6 days,2,Completed
AST-00061,2024-04-17,20:09,20,Wednesday,2024-04-18,11:04,2024-04-22,15:00-18:00,Bukit Timah / Bukit Batok,District 21,62980,1.332486,103.745434,Coat / Jacket,Clothing,2,14,0,Next-day,2.0,55.0,Yes,3,3-6 days,2,Completed
AST-00062,2024-05-31,21:16,21,Friday,2024-06-01,09:25,2024-06-04,09:00-13:00,Orchard / River Valley,District 09,21737,1.2983,103.825007,Saree,Traditional,3,20,0,,1.0,61.15,Yes,3,3-6 days,2,Completed
AST-00063,2024-09-04,21:09,21,Wednesday,2024-09-05,16:36,2024-09-14,09:00-13:00,Novena / Newton,District 11,26536,1.319284,103.828462,Stuffed Toy (<30cm),Household,1,10,0,Next-day,2.0,19.52,No,9,7-14 days,3,Completed
AST-00064,2025-03-13,22:56,22,Thursday,2025-03-14,11:43,2025-03-17,12:00-16:00,Ang Mo Kio / Hougang,District 19,56211,1.38249,103.867894,Bedsheet,Household,2,12,0,,1.0,24.26,No,2,1-2 days,1,Completed
AST-00065,2024-06-11,20:07,20,Tuesday,2024-06-12,13:53,2024-06-21,12:00-16:00,Choa Chu Kang / Bukit Panjang,District 23,69153,1.40276,103.738223,Stuffed Toy (<30cm),Household,1,10,0,,1.0,9.84,No,9,7-14 days,3,Completed
AST-00066,2025-05-06,22:14,22,Tuesday,2025-05-07,11:45,2025-05-09,09:00-13:00,Woodlands / Marsiling,District 25,72858,1.43737,103.790547,Shirt / Blouse,Clothing,1,9,0,,1.0,9.19,No,2,1-2 days,1,Completed
AST-00067,2024-02-27,10:48,10,Tuesday,2024-02-27,15:34,2024-03-02,09:00-13:00,Jurong East / West,District 22,66729,1.336269,103.721684,Evening Dress (Deco),Clothing,4,55,0,,1.0,219.54,Yes,4,3-6 days,4,Completed
AST-00068,2025-02-26,06:16,6,Wednesday,2025-02-26,10:06,2025-02-28,09:00-13:00,Punggol / Sengkang,District 19,52390,1.411824,103.903239,Shirt / Blouse,Clothing,2,9,0,,1.0,18.05,No,2,1-2 days,1,Completed
AST-00069,2024-11-30,08:16,8,Saturday,2024-11-30,10:16,2024-12-02,12:00-16:00,Clementi / West Coast,District 05,13813,1.299819,103.761265,Zip Replacement,Alterations,1,12,0,Next-day,2.0,24.11,No,1,1-2 days,1,Completed
AST-00070,2025-03-26,21:38,21,Wednesday,2025-03-27,14:25,2025-03-29,12:00-16:00,Bukit Timah / Bukit Batok,District 21,63812,1.339833,103.782801,Trousers / Shorts,Clothing,2,9,0,,1.0,18.45,No,2,1-2 days,1,Completed
AST-00071,2024-03-07,16:26,16,Thursday,2024-03-08,11:22,2024-03-11,15:00-18:00,Boon Lay / Tuas,District 22,68559,1.307981,103.695684,Overalls / Jumpsuit,Clothing,2,20,0,,1.0,40.96,Yes,3,3-6 days,2,Completed
AST-00072,2025-02-08,18:17,18,Saturday,2025-02-10,16:06,2025-02-11,09:00-13:00,Orchard / River Valley,District 09,20163,1.310994,103.848011,Hemming,Alterations,1,14,0,,1.0,13.81,No,1,1-2 days,1,Completed
AST-00073,2024-09-04,16:54,16,Wednesday,2024-09-05,09:51,2024-09-07,12:00-16:00,Bishan / Toa Payoh,District 12,30619,1.337836,103.833808,Tie / Bow Tie,Accessories,1,9,0,,1.0,8.9,No,2,1-2 days,1,Completed
AST-00074,2024-03-25,22:40,22,Monday,2024-03-26,12:33,2024-03-28,12:00-16:00,Yishun / Sembawang,District 27,77192,1.437773,103.827371,Trousers / Shorts,Clothing,1,9,0,Next-day,2.0,18.45,No,2,1-2 days,1,Completed
AST-00075,2024-12-24,21:18,21,Tuesday,2024-12-25,15:40,2024-12-28,12:00-16:00,Punggol / Sengkang,District 19,53861,1.381297,103.888387,Pillow / Bolster,Household,3,25,0,,1.0,72.75,Yes,3,3-6 days,2,Completed
AST-00076,2024-06-08,20:06,20,Saturday,2024-06-10,10:36,2024-06-12,12:00-16:00,Bishan / Toa Payoh,District 12,30571,1.348772,103.851236,Shirt / Blouse,Clothing,2,9,0,Next-day,2.0,36.99,No,2,1-2 days,1,Completed
AST-00077,2024-12-21,09:21,9,Saturday,2024-12-21,16:33,2024-12-24,09:00-13:00,Orchard / River Valley,District 09,21729,1.299924,103.840185,Saree,Traditional,1,20,0,,1.0,19.87,No,3,3-6 days,2,Completed
AST-00078,2025-04-19,19:36,19,Saturday,2025-04-21,14:54,2025-04-23,12:00-16:00,Tampines / Pasir Ris,District 18,50508,1.361998,103.946197,Trousers / Shorts,Clothing,1,9,0,3-Hour,3.0,26.91,No,2,1-2 days,1,Completed
AST-00079,2025-04-03,09:32,9,Thursday,2025-04-03,10:15,2025-04-07,12:00-16:00,Tampines / Pasir Ris,District 18,50405,1.386778,103.968218,Coat / Jacket,Clothing,1,14,0,,1.0,14.14,No,3,3-6 days,2,Completed
AST-00080,2024-10-16,22:55,22,Wednesday,2024-10-17,15:26,2024-10-19,12:00-16:00,Woodlands / Marsiling,District 25,73435,1.449337,103.793013,Bedsheet,Household,1,12,0,,1.0,12.14,No,2,1-2 days,1,Completed
AST-00081,2025-01-11,09:45,9,Saturday,2025-01-11,16:26,2025-01-14,09:00-13:00,Novena / Newton,District 11,27748,1.332035,103.822613,Baju Kurung (2pc),Traditional,3,32,0,,1.0,94.2,Yes,3,3-6 days,2,Completed
AST-00082,2025-01-14,14:01,14,Tuesday,2025-01-14,09:50,2025-01-16,15:00-18:00,Clementi / West Coast,District 05,13678,1.300539,103.765761,Scarf / Shawl,Accessories,3,12,0,,1.0,35.19,No,2,1-2 days,1,Completed
AST-00083,2024-08-01,11:37,11,Thursday,2024-08-01,16:36,2024-08-05,09:00-13:00,Woodlands / Marsiling,District 25,72241,1.450574,103.790734,Graduation Gown,Traditional,2,20,0,,1.0,38.94,No,3,3-6 days,2,Completed
AST-00084,2024-03-28,22:24,22,Thursday,2024-03-29,14:34,2024-04-01,12:00-16:00,Serangoon / Bartley,District 13,31636,1.343595,103.879968,Skirt,Clothing,2,12,0,Next-day,2.0,46.68,Yes,2,1-2 days,1,Completed
AST-00085,2025-02-28,08:45,8,Friday,2025-02-28,12:19,2025-03-03,12:00-16:00,Jurong East / West,District 22,66716,1.348784,103.725438,Overalls / Jumpsuit,Clothing,2,20,0,Next-day,2.0,81.49,Yes,3,3-6 days,2,Completed
AST-00086,2024-05-08,22:07,22,Wednesday,2024-05-09,12:52,2024-05-11,12:00-16:00,Bukit Timah / Bukit Batok,District 21,64701,1.352373,103.793852,Bedsheet,Household,2,12,0,,1.0,24.29,No,2,1-2 days,1,Completed
AST-00087,2025-03-18,18:57,18,Tuesday,2025-03-19,11:20,2025-03-21,12:00-16:00,Serangoon / Bartley,District 13,31980,1.368362,103.872855,Shirt / Blouse,Clothing,1,9,0,,1.0,9.14,No,2,1-2 days,1,Completed
AST-00088,2024-10-18,09:43,9,Friday,2024-10-18,10:25,2024-10-21,15:00-18:00,Orchard / River Valley,District 09,20454,1.306383,103.818251,Dress,Clothing,3,20,0,,1.0,59.68,Yes,3,3-6 days,2,Completed
AST-00089,2024-07-27,13:53,13,Saturday,2024-07-27,11:36,2024-07-30,12:00-16:00,Clementi / West Coast,District 05,12662,1.309312,103.775434,Graduation Gown,Traditional,5,20,0,,1.0,97.37,Yes,3,3-6 days,2,Completed
AST-00090,2024-02-05,16:26,16,Monday,2024-02-06,16:01,2024-02-08,12:00-16:00,Queenstown / Alexandra,District 03,15114,1.278469,103.802126,Bedsheet,Household,5,12,0,,1.0,59.48,Yes,2,1-2 days,1,Completed
AST-00091,2024-12-20,14:06,14,Friday,2024-12-20,15:12,2024-12-23,15:00-18:00,Ang Mo Kio / Hougang,District 19,55727,1.371519,103.881091,Bedsheet,Household,2,12,0,,1.0,23.37,No,2,1-2 days,1,Completed
AST-00092,2024-07-31,20:05,20,Wednesday,2024-08-01,14:16,2024-08-02,12:00-16:00,Choa Chu Kang / Bukit Panjang,District 23,67839,1.378608,103.769735,Hemming,Alterations,1,14,0,,1.0,14.09,No,1,1-2 days,1,Completed
AST-00093,2024-03-14,22:21,22,Thursday,2024-03-15,11:37,2024-03-18,09:00-13:00,Marine Parade / Katong,District 14,34653,1.312859,103.885429,Trousers / Shorts,Clothing,1,9,0,,1.0,9.13,No,2,1-2 days,1,Completed
AST-00094,2024-01-08,05:07,5,Monday,2024-01-08,14:52,2024-01-10,15:00-18:00,Choa Chu Kang / Bukit Panjang,District 23,69430,1.405951,103.767365,Tie / Bow Tie,Accessories,4,9,0,,1.0,35.67,No,2,1-2 days,1,Completed
AST-00095,2024-06-26,19:52,19,Wednesday,2024-06-27,10:06,2024-07-01,09:00-13:00,Serangoon / Bartley,District 13,31882,1.351156,103.86652,Saree Suit (2pc),Traditional,4,29,0,,1.0,114.58,Yes,3,3-6 days,2,Completed
AST-00096,2025-06-09,22:45,22,Monday,2025-06-10,09:39,2025-06-12,12:00-16:00,Novena / Newton,District 11,26137,1.320747,103.837898,Tie / Bow Tie,Accessories,1,9,0,Same-day,3.0,27.41,No,2,1-2 days,1,Completed
AST-00097,2024-06-17,17:44,17,Monday,2024-06-18,10:08,2024-06-28,09:00-13:00,Bukit Timah / Bukit Batok,District 21,63219,1.352828,103.778238,Curtains (no removal),Household,3,56,0,,1.0,172.44,Yes,10,7-14 days,4,Completed
AST-00098,2024-04-18,14:37,14,Thursday,2024-04-18,12:35,2024-04-20,15:00-18:00,Serangoon / Bartley,District 13,31490,1.343943,103.85991,Shirt / Blouse,Clothing,1,9,0,,1.0,9.04,No,2,1-2 days,1,Completed
AST-00099,2025-01-30,18:11,18,Thursday,2025-01-31,15:18,2025-02-10,09:00-13:00,Tampines / Pasir Ris,District 18,50510,1.368764,103.928655,Curtains (no removal),Household,5,56,0,,1.0,288.11,Yes,10,7-14 days,4,Completed
AST-00100,2024-10-26,17:25,17,Saturday,2024-10-28,10:33,2024-10-30,09:00-13:00,Serangoon / Bartley,District 13,31354,1.358383,103.890888,Trousers / Shorts,Clothing,2,9,0,,1.0,17.87,No,2,1-2 days,1,Completed
AST-00101,2024-02-26,16:39,16,Monday,2024-02-27,13:13,2024-03-01,15:00-18:00,Punggol / Sengkang,District 19,56991,1.399661,103.906231,Dress,Clothing,1,20,4,,1.0,23.35,No,3,3-6 days,2,Completed
AST-00102,2024-11-08,10:59,10,Friday,2024-11-08,11:17,2024-11-11,12:00-16:00,Orchard / River Valley,District 09,20385,1.297994,103.824081,Coat / Jacket,Clothing,3,14,0,,1.0,42.82,Yes,3,3-6 days,2,Completed
AST-00103,2024-02-21,08:28,8,Wednesday,2024-02-21,12:03,2024-02-24,09:00-13:00,Tampines / Pasir Ris,District 18,51853,1.372773,103.967097,Dress,Clothing,5,20,0,,1.0,100.63,Yes,3,3-6 days,2,Completed
AST-00104,2024-04-02,18:34,18,Tuesday,2024-04-03,09:10,2024-04-05,12:00-16:00,Bedok / Chai Chee,District 16,45703,1.342683,103.925062,Sweater / Cardigan,Clothing,1,9,0,,1.0,9.14,No,2,1-2 days,1,Completed
AST-00105,2024-07-20,08:42,8,Saturday,2024-07-20,13:46,2024-07-22,09:00-13:00,Marine Parade / Katong,District 14,36507,1.300515,103.882809,Shirt / Blouse,Clothing,2,9,0,,1.0,17.66,No,2,1-2 days,1,Completed
AST-00106,2025-05-02,10:03,10,Friday,2025-05-02,14:03,2025-05-05,15:00-18:00,Bukit Timah / Bukit Batok,District 21,63246,1.330924,103.786429,Dress,Clothing,2,20,0,,1.0,39.72,No,3,3-6 days,2,Completed
AST-00107,2024-03-30,13:58,13,Saturday,2024-03-30,09:54,2024-04-01,15:00-18:00,Buona Vista / Holland,District 05,11560,1.308226,103.780626,Shirt / Blouse,Clothing,1,9,0,,1.0,9.04,No,2,1-2 days,1,Completed
AST-00108,2025-01-01,10:19,10,Wednesday,2025-01-01,11:59,2025-01-03,12:00-16:00,Bukit Timah / Bukit Batok,District 21,60471,1.3334,103.772495,Shirt / Blouse,Clothing,1,9,0,,1.0,8.83,No,2,1-2 days,1,Completed
AST-00109,2024-09-06,22:49,22,Friday,2024-09-07,14:17,2024-09-09,09:00-13:00,Clementi / West Coast,District 05,13415,1.310136,103.787702,Hemming,Alterations,3,14,0,,1.0,40.93,Yes,1,1-2 days,1,Completed
